gender,age,age_o,race,race_o,same_race_i,same_religion_i,field,attractive_o_i,sincere_o_i,intelligence_o_i,funny_o_i,ambitious_o_i,shared_interests_o_i,attractive_o,sincere_o,intelligence_o,funny_o,ambitious_o,shared_interests_o,attractive_i,sincere_i,intelligence_i,funny_i,ambitious_i,shared_interests_i,attractive,sincere,intelligence,funny,ambitious,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambitious_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,like,met,decision,decision_o,match
female,24,27,european/caucasian-american,european/caucasian-american,2,5,law,35,20,20,20,0,5,8,7,6,9,7,4,45,5,25,20,0,5,7,5,10,8,3,5,7,8,4,6,3,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.29,6,0,0,0,0
female,24,22,european/caucasian-american,european/caucasian-american,2,5,law,60,0,0,40,0,0,7,6,10,6,6,5,45,5,25,20,0,5,7,5,10,8,3,8,5,6,6,9,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.18,7,0,0,0,0
female,24,22,european/caucasian-american,asian/pacific islander/asian-american,2,5,law,19,18,19,18,14,12,10,10,10,10,10,10,45,5,25,20,0,5,7,5,10,8,3,5,8,9,6,3,4,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.1,6,0,0,1,0
female,24,23,european/caucasian-american,european/caucasian-american,2,5,law,30,5,15,40,5,5,9,9,9,9,9,9,45,5,25,20,0,5,7,5,10,8,3,7,9,7,6,5,7,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,-0.21,7,0,1,1,1
female,24,24,european/caucasian-american,latino/hispanic american,2,5,law,30,10,20,10,10,20,10,10,10,10,7,8,45,5,25,20,0,5,7,5,10,8,3,6,8,7,9,7,8,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.32,8,1,0,1,0
female,24,25,european/caucasian-american,european/caucasian-american,2,5,law,50,0,30,10,0,10,7,8,7,5,7,7,45,5,25,20,0,5,7,5,10,8,3,8,7,8,3,6,2,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.73,6,0,0,1,0
female,24,30,european/caucasian-american,european/caucasian-american,2,5,law,35,15,25,10,5,10,5,3,4,3,5,3,45,5,25,20,0,5,7,5,10,8,3,7,5,9,6,7,9,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.6,8,0,1,0,0
female,24,27,european/caucasian-american,european/caucasian-american,2,5,law,33.33,11.11,11.11,11.11,11.11,22.22,7,7,7,7,7,5,45,5,25,20,0,5,7,5,10,8,3,5,8,7,5,9,5,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.07,5,0,0,1,0
female,24,28,european/caucasian-american,european/caucasian-american,2,5,law,50,0,25,10,0,15,8,6,9,9,8,7,45,5,25,20,0,5,7,5,10,8,3,7,6,8,9,4,5,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.11,5,0,1,1,1
female,24,24,european/caucasian-american,european/caucasian-american,2,5,law,100,0,0,0,0,0,6,5,7,7,9,7,45,5,25,20,0,5,7,5,10,8,3,6,7,8,7,9,8,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.39,8,0,1,0,0
female,25,27,european/caucasian-american,european/caucasian-american,8,4,economics,35,20,20,20,0,5,7,8,6,5,8,4,35,10,35,10,10,0,8,9,8,9,8,7,9,10,7,8,9,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.24,8,1,0,0,0
female,25,22,european/caucasian-american,european/caucasian-american,8,4,economics,60,0,0,40,0,0,6,7,10,6,6,5,35,10,35,10,10,0,8,9,8,9,8,9,7,9,8,9,7,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.14,8,0,0,0,0
female,25,22,european/caucasian-american,asian/pacific islander/asian-american,8,4,economics,19,18,19,18,14,12,10,10,10,10,10,10,35,10,35,10,10,0,8,9,8,9,8,7,9,9,7,9,7,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,0.09,8,0,0,1,0
female,25,23,european/caucasian-american,european/caucasian-american,8,4,economics,30,5,15,40,5,5,7,9,8,8,8,8,35,10,35,10,10,0,8,9,8,9,8,9,7,9,7,9,7,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.04,8,0,0,1,0
female,25,24,european/caucasian-american,latino/hispanic american,8,4,economics,30,10,20,10,10,20,6,10,8,6,,,35,10,35,10,10,0,8,9,8,9,8,9,10,10,10,10,10,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.14,9,0,0,1,0
female,25,25,european/caucasian-american,european/caucasian-american,8,4,economics,50,0,30,10,0,10,7,6,6,6,6,6,35,10,35,10,10,0,8,9,8,9,8,8,10,10,7,9,9,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.3,8,0,0,1,0
female,25,30,european/caucasian-american,european/caucasian-american,8,4,economics,35,15,25,10,5,10,6,3,5,4,5,4,35,10,35,10,10,0,8,9,8,9,8,8,9,10,7,7,9,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.26,8,0,0,0,0
female,25,27,european/caucasian-american,european/caucasian-american,8,4,economics,33.33,11.11,11.11,11.11,11.11,22.22,4,5,6,4,6,4,35,10,35,10,10,0,8,9,8,9,8,7,9,9,8,9,7,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,0.29,8,0,0,0,0
female,25,28,european/caucasian-american,european/caucasian-american,8,4,economics,50,0,25,10,0,15,7,7,6,8,7,7,35,10,35,10,10,0,8,9,8,9,8,9,9,9,9,9,9,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.15,9,0,0,1,0
female,25,24,european/caucasian-american,european/caucasian-american,8,4,economics,100,0,0,0,0,0,5,6,8,5,8,6,35,10,35,10,10,0,8,9,8,9,8,8,7,9,7,9,7,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.47,8,0,0,0,0
female,23,27,european/caucasian-american,european/caucasian-american,1,1,law,35,20,20,20,0,5,6,7,8,7,7,5,20,20,20,20,10,10,7,8,9,7,8,4,10,8,5,8,7,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.18,6,0,0,0,0
female,23,22,european/caucasian-american,european/caucasian-american,1,1,law,60,0,0,40,0,0,6,5,10,6,6,5,20,20,20,20,10,10,7,8,9,7,8,8,7,8,10,7,8,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.18,8,1,0,0,0
female,23,22,european/caucasian-american,asian/pacific islander/asian-american,1,1,law,19,18,19,18,14,12,10,10,10,10,10,10,20,20,20,20,10,10,7,8,9,7,8,4,7,8,8,6,7,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.05,4,0,0,1,0
female,23,23,european/caucasian-american,european/caucasian-american,1,1,law,30,5,15,40,5,5,7,7,7,9,9,9,20,20,20,20,10,10,7,8,9,7,8,8,10,7,10,7,10,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.18,8,1,1,1,1
female,23,24,european/caucasian-american,latino/hispanic american,1,1,law,30,10,20,10,10,20,8,8,9,8,8,9,20,20,20,20,10,10,7,8,9,7,8,6,9,8,9,8,9,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.21,7,0,0,1,0
female,23,25,european/caucasian-american,european/caucasian-american,1,1,law,50,0,30,10,0,10,6,6,7,7,8,7,20,20,20,20,10,10,7,8,9,7,8,5,10,8,4,8,2,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.37,4,0,0,1,0
female,23,30,european/caucasian-american,european/caucasian-american,1,1,law,35,15,25,10,5,10,7,6,3,5,6,5,20,20,20,20,10,10,7,8,9,7,8,7,10,10,7,10,5,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.35,5,0,0,1,0
female,23,27,european/caucasian-american,european/caucasian-american,1,1,law,33.33,11.11,11.11,11.11,11.11,22.22,6,7,8,6,6,5,20,20,20,20,10,10,7,8,9,7,8,5,9,9,5,9,7,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.15,6,0,0,0,0
female,23,28,european/caucasian-american,european/caucasian-american,1,1,law,50,0,25,10,0,15,7,7,7,10,9,10,20,20,20,20,10,10,7,8,9,7,8,9,8,10,10,7,8,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.47,8,0,1,1,1
female,23,24,european/caucasian-american,european/caucasian-american,1,1,law,100,0,0,0,0,0,7,8,8,7,8,7,20,20,20,20,10,10,7,8,9,7,8,8,9,10,10,8,8,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.19,10,0,1,0,0
female,21,27,european/caucasian-american,european/caucasian-american,8,1,law,35,20,20,20,0,5,6,8,8,8,7,6,20,5,25,25,10,15,6,3,6,10,8,5,8,8,2,2,2,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.43,7,0,0,0,0
female,21,22,european/caucasian-american,european/caucasian-american,8,1,law,60,0,0,40,0,0,6,7,10,7,6,5,20,5,25,25,10,15,6,3,6,10,8,8,6,6,5,5,5,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,0,6,1,0,0,0
female,21,22,european/caucasian-american,asian/pacific islander/asian-american,8,1,law,19,18,19,18,14,12,10,10,10,10,10,10,20,5,25,25,10,15,6,3,6,10,8,4,6,8,8,6,5,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.17,6,1,0,1,0
female,21,23,european/caucasian-american,european/caucasian-american,8,1,law,30,5,15,40,5,5,6,8,6,8,10,10,20,5,25,25,10,15,6,3,6,10,8,8,5,5,7,7,9,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,0.08,8,1,1,1,1
female,21,24,european/caucasian-american,latino/hispanic american,8,1,law,30,10,20,10,10,20,5,9,9,7,9,5,20,5,25,25,10,15,6,3,6,10,8,6,7,7,5,4,8,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.16,7,0,0,0,0
female,21,25,european/caucasian-american,european/caucasian-american,8,1,law,50,0,30,10,0,10,5,8,7,7,7,7,20,5,25,25,10,15,6,3,6,10,8,5,6,7,5,7,8,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,0.06,7,0,1,0,0
female,21,30,european/caucasian-american,european/caucasian-american,8,1,law,35,15,25,10,5,10,2,3,4,4,5,3,20,5,25,25,10,15,6,3,6,10,8,6,6,8,5,5,6,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.05,6,0,1,0,0
female,21,27,european/caucasian-american,european/caucasian-american,8,1,law,33.33,11.11,11.11,11.11,11.11,22.22,5,5,6,5,5,5,20,5,25,25,10,15,6,3,6,10,8,5,5,7,6,7,5,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,0.07,6,0,1,0,0
female,21,28,european/caucasian-american,european/caucasian-american,8,1,law,50,0,25,10,0,15,5,9,9,9,9,6,20,5,25,25,10,15,6,3,6,10,8,7,5,7,8,7,9,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.13,9,0,1,1,1
female,21,24,european/caucasian-american,european/caucasian-american,8,1,law,100,0,0,0,0,0,3,10,7,7,10,5,20,5,25,25,10,15,6,3,6,10,8,9,6,7,9,6,5,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.06,10,0,1,0,0
female,23,27,asian/pacific islander/asian-american,european/caucasian-american,1,1,law,35,20,20,20,0,5,7,9,8,9,8,4,10,25,20,25,5,15,5,7,8,9,5,6,9,7,6,7,6,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.33,6,0,1,0,0
female,23,22,asian/pacific islander/asian-american,european/caucasian-american,1,1,law,60,0,0,40,0,0,6,8,10,6,7,6,10,25,20,25,5,15,5,7,8,9,5,6,9,9,6,8,2,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.37,7,0,1,0,0
female,23,22,asian/pacific islander/asian-american,asian/pacific islander/asian-american,1,1,law,19,18,19,18,14,12,10,10,10,10,10,10,10,25,20,25,5,15,5,7,8,9,5,4,7,9,4,3,2,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,-0.51,6,1,0,1,0
female,23,23,asian/pacific islander/asian-american,european/caucasian-american,1,1,law,30,5,15,40,5,5,6,8,8,7,9,8,10,25,20,25,5,15,5,7,8,9,5,8,6,7,8,2,8,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.12,9,0,1,1,1
female,23,24,asian/pacific islander/asian-american,latino/hispanic american,1,1,law,30,10,20,10,10,20,9,7,9,7,9,6,10,25,20,25,5,15,5,7,8,9,5,5,4,8,8,4,2,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.35,4,1,0,1,0
female,23,25,asian/pacific islander/asian-american,european/caucasian-american,1,1,law,50,0,30,10,0,10,6,6,8,8,8,7,10,25,20,25,5,15,5,7,8,9,5,3,7,6,1,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.19,2,0,0,1,0
female,23,30,asian/pacific islander/asian-american,european/caucasian-american,1,1,law,35,15,25,10,5,10,5,6,8,4,5,4,10,25,20,25,5,15,5,7,8,9,5,8,8,8,8,3,4,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.47,8,0,1,0,0
female,23,27,asian/pacific islander/asian-american,european/caucasian-american,1,1,law,33.33,11.11,11.11,11.11,11.11,22.22,6,7,8,7,8,5,10,25,20,25,5,15,5,7,8,9,5,4,8,9,2,8,3,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.03,5,0,0,0,0
female,23,28,asian/pacific islander/asian-american,european/caucasian-american,1,1,law,50,0,25,10,0,15,6,7,7,6,6,6,10,25,20,25,5,15,5,7,8,9,5,7,6,8,8,6,9,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.46,9,0,1,1,1
female,23,24,asian/pacific islander/asian-american,european/caucasian-american,1,1,law,100,0,0,0,0,0,7,10,10,6,10,7,10,25,20,25,5,15,5,7,8,9,5,8,9,9,9,10,7,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.43,9,0,1,0,0
female,22,27,asian/pacific islander/asian-american,european/caucasian-american,2,4,law,35,20,20,20,0,5,7,8,8,8,7,7,15,15,25,20,15,10,6,6,5,7,7,4,8,8,5,7,4,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.19,7,0,0,0,0
female,22,22,asian/pacific islander/asian-american,european/caucasian-american,2,4,law,60,0,0,40,0,0,7,9,10,6,6,5,15,15,25,20,15,10,6,6,5,7,7,6,6,8,4,9,4,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.21,7,1,0,1,0
female,22,22,asian/pacific islander/asian-american,asian/pacific islander/asian-american,2,4,law,19,18,19,18,14,12,10,10,10,10,10,10,15,15,25,20,15,10,6,6,5,7,7,3,6,8,7,8,8,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.52,7,1,0,1,0
female,22,23,asian/pacific islander/asian-american,european/caucasian-american,2,4,law,30,5,15,40,5,5,8,8,9,8,9,9,15,15,25,20,15,10,6,6,5,7,7,7,8,8,7,7,6,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,-0.46,8,1,1,1,1
female,22,24,asian/pacific islander/asian-american,latino/hispanic american,2,4,law,30,10,20,10,10,20,8,7,9,6,9,5,15,15,25,20,15,10,6,6,5,7,7,4,7,7,4,8,5,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,-0.27,5,1,0,1,0
female,22,25,asian/pacific islander/asian-american,european/caucasian-american,2,4,law,50,0,30,10,0,10,8,8,8,6,6,6,15,15,25,20,15,10,6,6,5,7,7,4,8,7,4,5,4,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.59,5,0,0,1,0
female,22,30,asian/pacific islander/asian-american,european/caucasian-american,2,4,law,35,15,25,10,5,10,7,6,5,4,4,3,15,15,25,20,15,10,6,6,5,7,7,7,7,8,7,7,7,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.31,8,0,1,0,0
female,22,27,asian/pacific islander/asian-american,european/caucasian-american,2,4,law,33.33,11.11,11.11,11.11,11.11,22.22,8,7,6,7,7,5,15,15,25,20,15,10,6,6,5,7,7,5,7,8,5,9,5,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.08,5,0,0,1,0
female,22,28,asian/pacific islander/asian-american,european/caucasian-american,2,4,law,50,0,25,10,0,15,9,7,9,9,9,10,15,15,25,20,15,10,6,6,5,7,7,6,6,8,8,8,6,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,-0.34,6,0,1,1,1
female,22,24,asian/pacific islander/asian-american,european/caucasian-american,2,4,law,100,0,0,0,0,0,7,6,8,6,8,7,15,15,25,20,15,10,6,6,5,7,7,8,6,7,7,8,6,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,-0.16,7,0,1,0,0
female,25,27,european/caucasian-american,european/caucasian-american,1,1,public administration [masters],35,20,20,20,0,5,8,7,6,6,6,5,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,5,8,7,4,7,5,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.03,4,0,1,0,0
female,25,22,european/caucasian-american,european/caucasian-american,1,1,public administration [masters],60,0,0,40,0,0,8,8,10,7,6,5,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,8,7,7,9,6,7,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.11,8,0,1,1,1
female,25,22,european/caucasian-american,asian/pacific islander/asian-american,1,1,public administration [masters],19,18,19,18,14,12,10,10,10,10,10,10,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,5,8,8,6,7,7,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,0.42,5,0,1,1,1
female,25,23,european/caucasian-american,european/caucasian-american,1,1,public administration [masters],30,5,15,40,5,5,8,8,8,8,8,7,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,8,6,5,6,6,5,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.4,5,0,1,1,1
female,25,24,european/caucasian-american,latino/hispanic american,1,1,public administration [masters],30,10,20,10,10,20,9,9,8,9,,7,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,8,8,5,6,7,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.23,6,0,1,1,1
female,25,25,european/caucasian-american,european/caucasian-american,1,1,public administration [masters],50,0,30,10,0,10,8,7,7,7,8,7,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,8,8,5,6,7,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,0.28,6,0,1,1,1
female,25,30,european/caucasian-american,european/caucasian-american,1,1,public administration [masters],35,15,25,10,5,10,6,4,7,5,6,4,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,7,8,5,7,7,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,0.05,6,0,1,0,0
female,25,27,european/caucasian-american,european/caucasian-american,1,1,public administration [masters],33.33,11.11,11.11,11.11,11.11,22.22,9,8,8,8,7,5,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,5,6,7,4,5,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,0.17,5,0,1,1,1
female,25,28,european/caucasian-american,european/caucasian-american,1,1,public administration [masters],50,0,25,10,0,15,8,7,8,10,8,10,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,8,8,5,9,8,9,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.47,7,0,1,1,1
female,25,24,european/caucasian-american,european/caucasian-american,1,1,public administration [masters],100,0,0,0,0,0,8,10,9,9,8,8,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,7,6,8,7,9,8,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.21,8,0,1,1,1
female,26,27,other,european/caucasian-american,1,1,public administration [masters],35,20,20,20,0,5,6,8,7,8,7,5,20,10,20,30,10,10,7,6,10,7,7,8,10,9,8,7,6,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.19,5,0,1,0,0
female,26,22,other,european/caucasian-american,1,1,public administration [masters],60,0,0,40,0,0,8,8,10,7,6,5,20,10,20,30,10,10,7,6,10,7,7,10,10,10,10,10,10,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.03,10,0,1,1,1
female,26,22,other,asian/pacific islander/asian-american,1,1,public administration [masters],19,18,19,18,14,12,10,10,10,10,10,10,20,10,20,30,10,10,7,6,10,7,7,5,10,10,6,6,6,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.68,8,0,1,1,1
female,26,23,other,european/caucasian-american,1,1,public administration [masters],30,5,15,40,5,5,7,8,7,8,8,7,20,10,20,30,10,10,7,6,10,7,7,10,9,8,8,7,7,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,-0.26,7,0,1,1,1
female,26,24,other,latino/hispanic american,1,1,public administration [masters],30,10,20,10,10,20,7,9,8,9,7,7,20,10,20,30,10,10,7,6,10,7,7,5,10,8,8,5,5,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,-0.01,5,0,1,1,1
female,26,25,other,european/caucasian-american,1,1,public administration [masters],50,0,30,10,0,10,6,6,7,8,7,7,20,10,20,30,10,10,7,6,10,7,7,8,9,9,7,6,5,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.42,6,0,1,1,1
female,26,30,other,european/caucasian-american,1,1,public administration [masters],35,15,25,10,5,10,8,6,7,8,6,5,20,10,20,30,10,10,7,6,10,7,7,6,8,9,6,6,6,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.21,7,0,1,1,1
female,26,27,other,european/caucasian-american,1,1,public administration [masters],33.33,11.11,11.11,11.11,11.11,22.22,7,7,7,7,6,5,20,10,20,30,10,10,7,6,10,7,7,6,7,8,7,9,6,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.1,7,0,1,0,0
female,26,28,other,european/caucasian-american,1,1,public administration [masters],50,0,25,10,0,15,6,6,6,7,6,6,20,10,20,30,10,10,7,6,10,7,7,8,5,5,6,5,5,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,-0.35,7,0,1,1,1
female,26,24,other,european/caucasian-american,1,1,public administration [masters],100,0,0,0,0,0,5,6,6,6,6,6,20,10,20,30,10,10,7,6,10,7,7,7,8,7,8,7,8,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,-0.23,8,0,1,0,0
female,26,27,european/caucasian-american,european/caucasian-american,4,4,social work&education [masters],35,20,20,20,0,5,7,8,7,8,6,5,15,15,15,40,10,5,6,8,10,6,9,6,10,10,6,6,,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,0.3,6,0,0,0,0
female,26,22,european/caucasian-american,european/caucasian-american,4,4,social work&education [masters],60,0,0,40,0,0,1,1,1,1,1,1,15,15,15,40,10,5,6,8,10,6,9,1,1,1,1,1,,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,0.65,1,1,0,0,0
female,26,22,european/caucasian-american,asian/pacific islander/asian-american,4,4,social work&education [masters],19,18,19,18,14,12,10,10,10,10,10,10,15,15,15,40,10,5,6,8,10,6,9,6,10,10,10,6,,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,-0.15,7,0,1,1,1
female,26,23,european/caucasian-american,european/caucasian-american,4,4,social work&education [masters],30,5,15,40,5,5,7,8,7,9,8,8,15,15,15,40,10,5,6,8,10,6,9,10,10,10,10,10,,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,0.17,10,1,0,1,0
