"State","AreaName","edu.total","edu.males","edu.females","m_no_school","m_hs","m_bs","m_ms","m_phd","f_no_school","f_hs","f_bs","f_ms","f_phd","year","cause","amt_death","AADR"
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2000,"Unintentional Injuries",2093,47.02
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2000,"All Causes",45062,1004.8
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2000,"Alzheimers disease",895,20.39
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2000,"Homicide",444,10.02
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2000,"Stroke",3183,71.47
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2000,"Chronic liver disease and cirrhosis",407,8.96
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2000,"CLRD",2057,45.45
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2000,"Diabetes",1321,29.26
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2000,"Diseases of Heart",13406,299.47
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2000,"Essential hypertension and hypertensive renal disease",291,6.5
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2000,"Influenza and pneumonia",1138,25.74
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2000,"Suicide",583,13.11
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2000,"Cancer",9807,215.43
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2000,"Kidney Disease",939,21.05
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2000,"Parkinsons disease",214,4.84
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2000,"Pneumonitis due to solids and liquids",289,6.54
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2000,"Septicemia",775,17.28
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"Unintentional Injuries",2211,49.45
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"All Causes",45316,1002.1
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"Alzheimers disease",1103,25.07
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"Homicide",425,9.56
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"Stroke",2998,66.86
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"Chronic liver disease and cirrhosis",445,9.6
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"CLRD",2204,48.27
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"Diabetes",1344,29.56
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"Diseases of Heart",13207,292.72
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"Essential hypertension and hypertensive renal disease",369,8.19
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"Influenza and pneumonia",1105,24.91
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"Suicide",512,11.37
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"Cancer",9801,213.04
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"Kidney Disease",974,21.65
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"Parkinsons disease",239,5.37
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"Pneumonitis due to solids and liquids",290,6.5
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"Septicemia",771,17.01
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"Unintentional Injuries",2228,49.59
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"All Causes",46069,1013.4
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"Alzheimers disease",1189,27.04
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"Homicide",416,9.31
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"Stroke",3201,71.16
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"Chronic liver disease and cirrhosis",425,9.07
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"CLRD",2328,50.66
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"Diabetes",1486,32.26
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"Diseases of Heart",13197,291.29
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"Essential hypertension and hypertensive renal disease",343,7.6
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"Influenza and pneumonia",1218,27.36
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"Suicide",514,11.45
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"Cancer",9698,208.33
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"Kidney Disease",1032,22.79
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"Parkinsons disease",232,5.17
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"Pneumonitis due to solids and liquids",323,7.32
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"Septicemia",765,16.83
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2003,"Unintentional Injuries",2179,48.27
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2003,"All Causes",46716,1020.2
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2003,"Alzheimers disease",1268,28.83
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2003,"Homicide",434,9.68
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2003,"Stroke",3028,66.98
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2003,"Chronic liver disease and cirrhosis",440,9.21
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2003,"CLRD",2434,52.43
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2003,"Diabetes",1414,30.42
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2003,"Diseases of Heart",13150,288.54
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2003,"Essential hypertension and hypertensive renal disease",402,8.77
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2003,"Influenza and pneumonia",1157,25.86
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2003,"Suicide",521,11.44
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2003,"Cancer",9812,208.24
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2003,"Kidney Disease",1062,23.22
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2003,"Parkinsons disease",265,5.87
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2003,"Pneumonitis due to solids and liquids",309,6.91
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2003,"Septicemia",854,18.64
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"Unintentional Injuries",2403,52.98
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"All Causes",46121,998.3
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"Alzheimers disease",1385,31.42
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"Homicide",369,8.25
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"Stroke",2986,65.46
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"Chronic liver disease and cirrhosis",477,9.86
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"CLRD",2361,50.24
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"Diabetes",1449,30.83
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"Diseases of Heart",12774,278.07
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"Essential hypertension and hypertensive renal disease",413,9.05
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"Influenza and pneumonia",994,22.1
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"Suicide",541,11.73
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"Cancer",9756,204.54
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"Kidney Disease",1049,22.82
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"Parkinsons disease",256,5.71
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"Pneumonitis due to solids and liquids",287,6.4
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"Septicemia",756,16.29
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2005,"Unintentional Injuries",2395,51.9
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2005,"All Causes",47090,1001.3
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2005,"Alzheimers disease",1501,33.44
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2005,"Homicide",433,9.65
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2005,"Stroke",2952,63.35
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2005,"Chronic liver disease and cirrhosis",478,9.68
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2005,"CLRD",2382,50.11
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2005,"Diabetes",1429,29.85
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2005,"Diseases of Heart",12869,274.46
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2005,"Essential hypertension and hypertensive renal disease",428,9.21
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2005,"Influenza and pneumonia",1011,22.01
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2005,"Suicide",535,11.52
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2005,"Cancer",9913,204.36
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2005,"Kidney Disease",1036,22.07
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2005,"Parkinsons disease",306,6.68
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2005,"Pneumonitis due to solids and liquids",318,6.96
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2005,"Septicemia",848,18
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"Unintentional Injuries",2506,53.99
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"All Causes",46977,979.5
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"Alzheimers disease",1497,32.72
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"Homicide",445,9.72
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"Stroke",2740,57.78
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"Chronic liver disease and cirrhosis",489,9.56
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"CLRD",2309,47.63
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"Diabetes",1453,29.83
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"Diseases of Heart",12583,262.99
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"Essential hypertension and hypertensive renal disease",456,9.46
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"Influenza and pneumonia",918,19.52
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"Suicide",580,12.37
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"Cancer",9899,199.43
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"Kidney Disease",1104,23
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"Parkinsons disease",291,6.24
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"Pneumonitis due to solids and liquids",273,5.88
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"Septicemia",836,17.27
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2007,"Unintentional Injuries",2542,53.8
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2007,"All Causes",46696,957.2
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2007,"Alzheimers disease",1517,32.57
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2007,"Homicide",480,10.46
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2007,"Stroke",2747,56.91
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2007,"Chronic liver disease and cirrhosis",505,9.76
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2007,"CLRD",2530,51.32
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2007,"Diabetes",1313,26.44
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2007,"Diseases of Heart",11926,244.95
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2007,"Essential hypertension and hypertensive renal disease",475,9.75
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2007,"Influenza and pneumonia",898,18.8
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2007,"Suicide",592,12.42
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2007,"Cancer",10025,198.67
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2007,"Kidney Disease",1051,21.33
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2007,"Parkinsons disease",321,6.79
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2007,"Pneumonitis due to solids and liquids",288,6.05
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2007,"Septicemia",769,15.67
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2008,"Unintentional Injuries",2509,52.52
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2008,"All Causes",47707,959.7
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2008,"Alzheimers disease",1518,32.08
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2008,"Homicide",454,9.83
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2008,"Stroke",2863,58.21
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2008,"Chronic liver disease and cirrhosis",489,9.13
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2008,"CLRD",2733,54.23
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2008,"Diabetes",1386,27.18
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2008,"Diseases of Heart",12074,243.3
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2008,"Essential hypertension and hypertensive renal disease",501,10.04
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2008,"Influenza and pneumonia",912,18.66
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2008,"Suicide",604,12.56
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2008,"Cancer",10182,197.48
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2008,"Kidney Disease",1107,22.34
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2008,"Parkinsons disease",348,7.22
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2008,"Pneumonitis due to solids and liquids",256,5.3
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2008,"Septicemia",899,17.99
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2009,"Unintentional Injuries",2351,49.04
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2009,"All Causes",47470,940.2
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2009,"Alzheimers disease",1521,31.59
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2009,"Homicide",412,8.88
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2009,"Stroke",2675,53.58
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2009,"Chronic liver disease and cirrhosis",488,9.12
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2009,"CLRD",2770,54.22
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2009,"Diabetes",1259,24.4
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2009,"Diseases of Heart",12021,237.96
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2009,"Essential hypertension and hypertensive renal disease",523,10.21
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2009,"Influenza and pneumonia",952,19.18
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2009,"Suicide",673,13.73
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2009,"Cancer",10289,196.32
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2009,"Kidney Disease",1180,23.4
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2009,"Parkinsons disease",363,7.38
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2009,"Pneumonitis due to solids and liquids",241,4.85
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2009,"Septicemia",866,16.99
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2010,"Unintentional Injuries",2394,49.61
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2010,"All Causes",48038,939.7
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2010,"Alzheimers disease",1523,31.2
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2010,"Homicide",391,8.27
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2010,"Stroke",2619,51.64
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2010,"Chronic liver disease and cirrhosis",504,9.35
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2010,"CLRD",2866,55.43
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2010,"Diabetes",1302,24.96
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2010,"Diseases of Heart",12083,235.99
